title,description
The Vow (2012),"After a car accident erases a woman’s memory, her husband fights to win her heart all over again."
Before Sunrise (1995),"A young American man and a French woman meet on a train in Europe and spend a magical night together in Vienna, knowing they may never see each other again."
Before Sunset (2004),"Nine years after their first meeting, Jesse and Céline reunite in Paris and have only a few hours to explore their feelings."
500 Days of Summer (2009),A young man reflects on his failed relationship with the woman he thought was his soulmate.
The Princess Bride (1987),"A fairy tale adventure about a young woman and her one true love, who must battle obstacles to be together."
Dear John (2010),"A soldier and a college student fall in love through letters, but the distance and war put their relationship to the test."
The Holiday (2006),Two women swap homes for the holidays and unexpectedly find love in each other’s countries.
If I Stay (2014),"After a tragic accident, a teenage girl must decide whether to wake up and continue her life or let go."
One Day (2011),"Emma and Dexter meet on the day of their graduation and form a lifelong friendship, reconnecting each year on the same date."
The Shawshank Redemption (1994),"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
Forrest Gump (1994),"The life story of a slow-witted but kind-hearted man, who unwittingly influences several historical events in the 20th century United States."
Schindler’s List (1993),"Based on a true story, a German businessman saves over a thousand Jewish refugees during the Holocaust by employing them in his factories."
The Godfather (1972),The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.
A Beautiful Mind (2001),"The story of John Nash, a brilliant but asocial mathematician, who struggles with schizophrenia while making groundbreaking contributions to game theory."
Good Will Hunting (1997),"A young janitor at MIT has a genius-level IQ but chooses to hide his talents, until a professor discovers his potential."
The Pursuit of Happyness (2006),A struggling salesman fights through homelessness to build a better future for himself and his son.
12 Angry Men (1957),"A jury deliberates the fate of a teenage boy accused of murder, with one dissenting juror questioning the evidence."
Dead Poets Society (1989),"An English teacher at an elite boys' school inspires his students to embrace poetry, passion, and individualism."
Manchester by the Sea (2016),"A man is forced to return to his hometown after the sudden death of his brother, confronting his troubled past and new responsibilities."
The Green Mile (1999),"A death row corrections officer forms an unlikely bond with a prisoner who possesses a mysterious, supernatural gift."
There Will Be Blood (2007),"The rise of an ambitious and ruthless oilman in early 20th-century America, showcasing greed and obsession."
Requiem for a Dream (2000),"Four interconnected characters struggle with addiction, leading to devastating consequences."
The Revenant (2015),A frontiersman left for dead after a bear attack seeks revenge on those who abandoned him.
The Social Network (2010),"The story of Facebook's founding, highlighting the ambition, betrayal, and legal battles that followed."
Moonlight (2016),A coming-of-age drama that follows the life of a young Black man struggling with identity and sexuality.
Slumdog Millionaire (2008),A young man from the slums of Mumbai recounts his life story as he competes on a game show to win a fortune.
Boyhood (2014),"A unique coming-of-age film shot over 12 years, depicting a boy's growth into adulthood."
Whiplash (2014),"A young drummer enrolls in a prestigious music school, where he faces the brutal mentorship of a perfectionist instructor."
The Pianist (2002),A Polish-Jewish pianist struggles to survive during World War II as he hides from the Nazis in war-torn Warsaw.
The Fellowship of the Ring (2001),"A young hobbit, Frodo Baggins, embarks on a perilous journey to destroy the One Ring and prevent the Dark Lord Sauron from conquering Middle-earth."
The Two Towers (2002),"Frodo and Sam continue their journey to Mount Doom while Aragorn, Legolas, and Gimli fight to protect Middle-earth from the growing forces of darkness."
The Return of the King (2003),"The final battle for Middle-earth begins as Frodo and Sam reach Mount Doom to destroy the One Ring, while Aragorn leads the forces of good against Sauron's army."
Harry Potter and the Sorcerer’s Stone (2001),"An 11-year-old orphan, Harry Potter, discovers he is a wizard and attends Hogwarts, where he learns magic and uncovers a dangerous secret about a powerful stone."
Harry Potter and the Chamber of Secrets (2002),"Harry returns to Hogwarts, only to find the school plagued by mysterious attacks linked to the legend of the Chamber of Secrets."
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe (2005)","Four siblings enter the magical land of Narnia through a wardrobe and join forces with Aslan, the great lion, to defeat the evil White Witch."
An Unexpected Journey (2012),"Bilbo Baggins, a humble hobbit, embarks on an adventure with a group of dwarves to reclaim their homeland from the fearsome dragon Smaug."
The Desolation of Smaug (2013),Bilbo and the dwarves continue their journey and face the mighty dragon Smaug in their quest to reclaim the Lonely Mountain.
The Battle of the Five Armies (2014),"As Thorin Oakenshield succumbs to greed, the people of Middle-earth prepare for war over the treasures of the Lonely Mountain."
Alice in Wonderland (2010),"Alice returns to the whimsical world of Wonderland, where she must defeat the Red Queen and restore the White Queen to the throne."
Pan’s Labyrinth (2006),A young girl in post-Civil War Spain discovers a mysterious labyrinth where a faun assigns her three dangerous tasks to prove she is a lost princess.
Stardust (2007),"A young man ventures into a magical realm to retrieve a fallen star for his beloved, only to discover that the star is a woman pursued by powerful forces."
The Lightning Thief (2010),"Percy Jackson, a teenager who discovers he is the son of Poseidon, embarks on a quest to prevent a war among the gods of Olympus."
Miss Peregrine’s Home for Peculiar Children (2016),A boy discovers a hidden orphanage filled with children who have extraordinary abilities and must protect them from dark forces.
The Golden Compass (2007),A young girl embarks on a journey to the North to rescue kidnapped children and uncover a sinister conspiracy involving a mysterious substance called Dust.
Maleficent (2014),"A reimagining of the Sleeping Beauty story from the perspective of Maleficent, the misunderstood dark fairy."
Fantastic Beasts and Where to Find Them (2016),"Magizoologist Newt Scamander arrives in 1920s New York with a suitcase full of magical creatures, but when they escape, chaos ensues."
The NeverEnding Story (1984),"A young boy discovers a mystical book that transports him into the world of Fantasia, where he must help a warrior save the land from destruction."
The Shape of Water (2017),A mute woman working in a secret government lab forms a bond with an amphibious creature held in captivity.
The Wizard of Oz (1939),"Dorothy and her dog Toto are transported to the magical land of Oz, where they must follow the Yellow Brick Road to find the Wizard who can help them return home."
Raiders of the Lost Ark (1981),Archaeologist Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis do.
The Curse of the Black Pearl (2003),A blacksmith joins forces with a rogue pirate to rescue the governor’s kidnapped daughter from a cursed crew of undead pirates.
The Fellowship of the Ring (2001),"A young hobbit, Frodo, embarks on a perilous journey to destroy the One Ring and save Middle-earth from darkness."
The Jungle Book (2016),"An orphaned boy, raised by wolves, embarks on a journey of self-discovery with the help of a panther and a bear in the jungle."
The Revenant (2015),"A frontiersman, left for dead after a brutal bear attack, fights for survival in the unforgiving wilderness and seeks revenge on those who betrayed him."
Welcome to the Jungle (2017),Four teenagers get sucked into a magical video game and must navigate its dangerous world to return home.
Life of Pi (2012),A young man survives a shipwreck and finds himself stranded on a lifeboat with a Bengal tiger as his only companion.
An Unexpected Journey (2012),Bilbo Baggins is recruited by a group of dwarves to help them reclaim their homeland from the fearsome dragon Smaug.
"The Lion, the Witch, and the Wardrobe (2005)",Four children discover a magical world hidden inside a wardrobe and must help a lion defeat an evil witch to restore peace.
King Kong (2005),"A filmmaker and his crew travel to a mysterious island, where they encounter a gigantic ape who forms a special bond with an actress."
Fury Road (2015),"In a post-apocalyptic wasteland, a drifter and a rebel warrior team up to flee a tyrant while leading a group of oppressed women to freedom."
Avatar (2009),A paraplegic Marine on a mission to infiltrate an alien planet becomes torn between following orders and protecting its indigenous people.
Up (2009),"An elderly widower embarks on a journey to South America by tying thousands of balloons to his house, accompanied by an eager young boy scout."
The Secret Life of Walter Mitty (2013),A daydreaming office worker embarks on a real-life adventure across the globe in search of a missing photograph.
The Mummy (1999),"A group of adventurers accidentally awaken an ancient Egyptian priest, who seeks to reclaim his lost love and wreak havoc upon the world."
Tomb Raider (2018),"Lara Croft, the fiercely independent daughter of a missing adventurer, embarks on a perilous journey to solve the mystery of her father’s disappearance."
Journey to the Center of the Earth (2008),"A scientist and his nephew discover a lost world deep beneath the Earth's surface, filled with prehistoric creatures and natural wonders."
The Lost City of Z (2016),"A British explorer embarks on multiple expeditions to uncover a lost civilization in the Amazon jungle, facing incredible hardships along the way."
National Treasure (2004),A historian and treasure hunter races against time to uncover a hidden fortune linked to America’s founding fathers.
The Great Wall (2016),Mercenaries traveling through ancient China discover the true purpose of the Great Wall—defending against monstrous creatures that threaten humanity.
Toy Story (1995),A cowboy doll feels threatened when a new astronaut action figure becomes his owner’s favorite toy.
Finding Nemo (2003),"A clownfish sets out on a journey across the ocean to find his lost son, facing dangers and making friends along the way."
Shrek (2001),"An ogre embarks on a quest to rescue a princess, only to realize love isn’t just for fairy tales."
The Lion King (1994),"A young lion prince flees his kingdom after his father is murdered, only to return and reclaim his throne."
Frozen (2013),"A princess with icy powers isolates herself, but her sister embarks on a journey to bring her back and save their kingdom."
Inside Out (2015),"A young girl’s emotions—Joy, Sadness, Anger, Fear, and Disgust—struggle to navigate her life changes from inside her mind."
Coco (2017),A boy passionate about music enters the Land of the Dead to uncover his family's long-hidden secrets.
How to Train Your Dragon (2010),"A young Viking befriends a dragon instead of hunting it, challenging his village’s traditions."
Ratatouille (2007),A rat with a dream of becoming a chef forms an unusual partnership with a struggling human cook in Paris.
The Incredibles (2004),A superhero family forced into hiding must reunite to save the world from a new villain.
Kung Fu Panda (2008),A clumsy panda with big dreams is chosen to be the Dragon Warrior and must train to defeat an evil warrior.
Zootopia (2016),A determined rabbit police officer teams up with a cunning fox to solve a conspiracy in a city where animals coexist.
Spirited Away (2001),A young girl is trapped in a magical world and must work in a bathhouse for spirits to save her parents.
The Iron Giant (1999),A boy befriends a giant alien robot while trying to protect him from the U.S. military during the Cold War.
WALL-E (2008),A lonely waste-collecting robot on an abandoned Earth embarks on a space adventure that could save humanity.
Big Hero 6 (2014),A young robotics prodigy teams up with his inflatable healthcare companion and friends to stop a mysterious villain.
The Lego Movie (2014),An ordinary LEGO figure is mistaken for the chosen one and must stop an evil tyrant from gluing the LEGO universe together.
Moana (2016),A brave Polynesian girl sets sail across the ocean to return a mystical relic and save her island.
"Monsters, Inc. (2001)",Two monsters working in a factory that collects children's screams accidentally bring a human child into their world.
Encanto (2021),A girl in a magical Colombian family discovers she might be the only one who can save their enchanted home.
The Social Dilemma (2020),"An eye-opening documentary exploring the dangerous impact of social networking, featuring insights from former tech industry executives."
Planet Earth II (2016),A stunning BBC documentary series narrated by David Attenborough that explores Earth's wildlife across different landscapes.
Won't You Be My Neighbor? (2018),"A heartfelt look at the life and legacy of Fred Rogers, the beloved children's television host of Mister Rogers' Neighborhood.*"
Free Solo (2018),"A thrilling, Oscar-winning documentary following rock climber Alex Honnold as he attempts to free-climb El Capitan without any ropes."
13th (2016),A powerful Netflix documentary directed by Ava DuVernay that examines the link between slavery and mass incarceration in the U.S.
Blackfish (2013),"Investigates the controversial captivity of orcas at SeaWorld, particularly focusing on the mistreatment of Tilikum the killer whale."
Inside Job (2010),"A deep dive into the 2008 financial crisis, explaining how corruption in Wall Street led to a global economic collapse."
Making a Murderer (2015),"A true crime documentary series that follows the case of Steven Avery, who was wrongly convicted and later accused of another crime."
The Act of Killing (2012),A chilling documentary where former Indonesian death squad leaders re-enact their real-life crimes in cinematic styles.
Apollo 11 (2019),A breathtaking documentary using archival footage to retell the story of NASA’s historic 1969 moon landing.
"Food, Inc. (2008)","Exposes the hidden truths behind America’s food industry, showing how corporations control food production."
Won’t Back Down (2012),Explores the struggles of teachers and parents fighting for better education reform in the U.S.
American Factory (2019),A Netflix documentary produced by Barack and Michelle Obama that examines the cultural clash between American and Chinese factory workers.
My Octopus Teacher (2020),A beautifully shot documentary about a filmmaker who forms a unique bond with an octopus in the wild.
The Cove (2009),"Uncovers the brutal dolphin hunting practices in Taiji, Japan, and the efforts to bring awareness to marine conservation."
Fahrenheit 9/11 (2004),A controversial documentary by Michael Moore that critiques the Bush administration's handling of 9/11 and the Iraq War.
March of the Penguins (2005),A visually stunning documentary following emperor penguins on their annual journey in Antarctica.
Icarus (2017),A gripping Netflix documentary that uncovers the Russian doping scandal in the Olympics.
The Fog of War (2003),A deep look into war strategies and decision-making through the perspective of former U.S. Secretary of Defense Robert McNamara.
Seaspiracy (2021),Explores the environmental impact of global fishing industries and the hidden dangers of overfishing.
